Beverage_category,Beverage,Beverage_prep,Calories,Sugars_g,Caffeine_g, Total_Fat_g,Trans_Fat_g,Saturated_Fat_(g), Sodium_mg, Total_Carbohydrates_(g) ,Cholesterol_mg, Dietary_Fibre_(g), Protein_g,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,340,62,110,7,5,0.1,10,250,67,2,5,4%,0%,10%,25%
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,310,60,110,6,3.5,0,0,240,65,2,4,4%,0%,10%,30%
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420,84,145,5,4,0,5,340,90,2,7,10%,0%,20%,35%
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460,84,145,10,7,0.2,15,340,90,2,7,6%,0%,15%,35%
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430,80,145,8,4.5,0,0,330,88,3,6,6%,0%,20%,40%
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90,19,70,0.1,0,0,0,160,20,0,3,4%,0%,10%,0%
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120,26,95,0.1,0.1,0,0,210,26,0,3,6%,0%,10%,0%
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160,33,120,0.1,0.1,0,5,270,34,0,5,8%,0%,15%,2%
Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110,23,70,0.5,0.4,0,0,150,24,1,3,4%,0%,8%,6%
Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150,30,95,1,0.5,0,0,200,33,1,4,6%,0%,10%,8%
Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210,42,130,1,0.5,0,5,280,46,1,6,8%,0%,15%,10%
Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100,23,65,0.1,0,0,0,140,23,0,3,4%,0%,8%,0%
Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150,32,90,0.1,0.1,0,0,200,33,0,3,6%,0%,10%,0%
Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200,43,120,0.1,0.1,0,5,270,44,0,5,8%,0%,15%,2%
Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150,27,70,3,2,0,0,170,30,1,4,4%,0%,10%,20%
Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220,39,105,4,3,0,0,240,43,2,5,6%,0%,10%,25%
Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290,52,165,5,4,0,5,320,58,2,7,8%,0%,15%,35%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170,38,0,0.1,0.1,0,0,140,39,0,3,6%,6%,10%,2%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,190,37,0,3,1.5,0.1,10,140,38,0,3,4%,6%,10%,2%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,170,35,0,1.5,0.2,0,0,135,37,1,3,4%,6%,10%,6%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230,52,0,0.2,0.1,0,0,190,53,0,4,8%,6%,15%,4%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,260,52,0,4,2,0.1,10,190,53,0,4,6%,6%,15%,4%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,240,49,0,2,0.2,0,0,180,51,1,3,4%,6%,15%,8%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310,69,0,0.2,0.1,0,5,260,70,0,6,10%,8%,20%,4%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,350,68,0,6,3,0.2,15,260,70,0,6,8%,8%,20%,4%
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,320,64,0,3 2,0.4,0,0,250,67,1,5,6%,8%,20%,10%
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170,38,0,0.1,0.1,0,0,160,39,0,4,6%,0%,10%,0%
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Whole Milk,200,38,0,3.5,2,0.1,10,160,39,0,3,6%,0%,10%,0%
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Soymilk,180,35,0,1.5,0.2,0,0,160,37,1,3,4%,0%,10%,6%
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240,55,0,0.1,0.1,0,5,230,56,0,5,8%,0%,15%,0%
